"2022-08-20 13:58:38 [main] INFO  c.c.a.AuthorizationApplicationTests - Starting AuthorizationApplicationTests using Java 17.0.3 on LAPTOP-7B1ET9CM with PID 34404 (started by Suraj in C:\Users\91959\Documents\Portfolio-Management-master\Portfolio-Management-master\Back-End Spring-Boot\Authorization\Authorization)
""2022-08-20 13:58:38 [main] INFO  c.c.a.AuthorizationApplicationTests - No active profile set, falling back to 1 default profile: "default"
""2022-08-20 13:58:40 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2022-08-20 13:58:40 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 131 ms. Found 1 JPA repository interfaces.
""2022-08-20 13:58:41 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2022-08-20 13:58:42 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2022-08-20 13:58:42 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2022-08-20 13:58:42 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
""2022-08-20 13:58:43 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2022-08-20 13:58:43 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
""2022-08-20 13:58:44 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2022-08-20 13:58:44 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2022-08-20 13:58:44 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2022-08-20 13:58:46 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:pms'
""2022-08-20 13:58:46 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure any request
""2022-08-20 13:58:48 [main] INFO  c.c.a.AuthorizationApplicationTests - Started AuthorizationApplicationTests in 10.863 seconds (JVM running for 13.4)
""2022-08-20 13:58:48 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.cts.authorization.controller.AuthControllerTest], using SpringBootContextLoader
""2022-08-20 13:58:48 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.cts.authorization.controller.AuthControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
""2022-08-20 13:58:48 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.cts.authorization.controller.AuthControllerTest]: AuthControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
""2022-08-20 13:58:48 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.cts.authorization.AuthorizationApplication for test class com.cts.authorization.controller.AuthControllerTest
""2022-08-20 13:58:48 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
""2022-08-20 13:58:48 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@75b94138, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@44a6b9bf, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3495cc8d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@110e9a99, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2e01a901, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5f1b963f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@45f0d8f5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@204f4880, org.springframework.test.context.event.EventPublishingTestExecutionListener@3a5b429, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@c700c, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@43783788, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@19a97c2f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@378397cf, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@546c1d23, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@562ab451, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4b0f2bf, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2f263009]
""2022-08-20 13:58:48 [main] INFO  c.c.a.controller.AuthController - Authentication started....
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Authentication successfully..
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Received request to generate token for tharun
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Authentication started....
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Authentication successfully..
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Received request to generate token for tharun
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Getting username by token...
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Authentication started....
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Authentication successfully..
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Received request to generate token for tharun
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Getting userId by token...
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Authentication started....
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Authentication successfully..
""2022-08-20 13:58:49 [main] INFO  c.c.a.controller.AuthController - Received request to generate token for tharun
""2022-08-20 13:58:49 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.cts.authorization.controller.SwaggerUIControllerTest], using SpringBootContextLoader
""2022-08-20 13:58:49 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.cts.authorization.controller.SwaggerUIControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
""2022-08-20 13:58:49 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.cts.authorization.controller.SwaggerUIControllerTest]: SwaggerUIControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
""2022-08-20 13:58:49 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.cts.authorization.AuthorizationApplication for test class com.cts.authorization.controller.SwaggerUIControllerTest
""2022-08-20 13:58:49 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
